wfd source capability config for mt6989,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
### resolution/fps capability config,,,,,,,,,,,,,,
# column <resolutionn type> = enum ResolutionType,,,,,,,,,,,,,,
# column <H264 maximum level> = enum LevelH264Type, = 999 means Not Support,,,,,,,,,,,,,
# column <H265 maximum level> = enum LevelH265Type, = 999 means Not Support,,,,,,,,,,,,,
# column <bitrate> = 0 means Not Support,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
## Maximal supported resolution/fps,,,,,,,,,,,,,,
resolution type,index,,,,,,,,,,,,,
0,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,
## CEA Resolution,,,,,,,,,,,,,,
index,width,height,framesPerSecond,interlaced,codec support,racing support,H264 maximum level,H265 maximum level,H264 bitrate (kbps),H265 bitrate (kbps),H264 min-slice-size,H264 slice count,H265 min-slice-size,H265 slice count
0,640,480,60,0,1,0,0,0,3413,2730,0,0,0,0
1,720,480,60,0,1,0,0,0,3839,3071,0,0,0,0
2,720,480,60,1,0,0,999,999,0,0,0,0,0,0
3,720,576,50,0,1,0,0,0,4071,3256,0,0,0,0
4,720,576,50,1,0,0,999,999,0,0,0,0,0,0
5,1280,720,30,0,1,0,0,0,4800,3840,0,0,0,0
6,1280,720,60,0,1,0,1,1,7680,6144,0,0,0,0
7,1920,1080,30,0,1,0,2,1,11000,9000,0,0,0,0
8,1920,1080,60,0,1,0,4,2,17600,14400,0,0,0,0
9,1920,1080,60,1,0,0,999,999,0,0,0,0,0,0
10,1280,720,25,0,1,0,0,0,4400,3520,0,0,0,0
11,1280,720,50,0,1,0,1,1,7040,5632,0,0,0,0
12,1920,1080,25,0,1,0,1,1,10083,8250,0,0,0,0
13,1920,1080,50,0,1,0,4,2,16133,13200,0,0,0,0
14,1920,1080,50,1,0,0,999,999,0,0,0,0,0,0
15,1280,720,24,0,1,0,0,0,4224,3379,0,0,0,0
16,1920,1080,24,0,1,0,1,1,9680,7920,0,0,0,0
17,3840,2160,24,0,1,0,6,3,30800,23760,0,0,0,0
18,3840,2160,25,0,1,0,6,3,32083,24750,0,0,0,0
19,3840,2160,30,0,1,0,6,3,35000,27000,0,0,0,0
20,3840,2160,50,0,1,0,7,4,49487,38176,0,0,0,0
21,3840,2160,60,0,1,0,7,4,56000,43200,0,0,0,0
22,4096,2160,24,0,0,0,6,3,32853,25344,0,0,0,0
23,4096,2160,25,0,0,0,6,3,34221,26400,0,0,0,0
24,4096,2160,30,0,0,0,7,3,37333,28800,0,0,0,0
25,4096,2160,50,0,0,0,7,4,52786,40721,0,0,0,0
26,4096,2160,60,0,0,0,7,4,59733,46080,0,0,0,0
,,,,,,,,,,,,,,
## VESA  Resolution,,,,,,,,,,,,,,
index,width,height,framesPerSecond,interlaced,codec support,racing support,H264 maximum level,H265 maximum level,H264 bitrate (kbps),H265 bitrate (kbps),H264 min-slice-size,H264 slice count,H265 min-slice-size,H265 slice count
0,800,600,30,0,0,0,999,999,3026,2360,0,0,0,0
1,800,600,60,0,0,0,999,999,4841,3775,0,0,0,0
2,1024,768,30,0,0,0,999,999,4377,3414,0,0,0,0
3,1024,768,60,0,0,0,999,999,7003,5462,0,0,0,0
4,1152,864,30,0,0,0,999,999,5244,4090,0,0,0,0
5,1152,864,60,0,0,0,999,999,8390,6544,0,0,0,0
6,1280,768,30,0,0,0,999,999,5194,4051,0,0,0,0
7,1280,768,60,0,0,0,999,999,8310,6481,0,0,0,0
8,1280,800,30,0,0,0,999,999,5360,4180,0,0,0,0
9,1280,800,60,0,0,0,999,999,8576,6689,0,0,0,0
10,1360,768,30,0,0,0,999,999,5744,4480,0,0,0,0
11,1360,768,60,0,0,0,999,999,9190,7168,0,0,0,0
12,1366,768,30,0,0,0,999,999,5796,4520,0,0,0,0
13,1366,768,60,0,0,0,999,999,9273,7232,0,0,0,0
14,1280,1024,30,0,0,0,999,999,6838,5333,0,0,0,0
15,1280,1024,60,0,0,0,999,999,10940,8533,0,0,0,0
16,1400,1050,30,0,0,0,999,999,7929,6184,0,0,0,0
17,1400,1050,60,0,0,0,999,999,12686,9895,0,0,0,0
18,1440,900,30,0,0,0,999,999,7209,5623,0,0,0,0
19,1440,900,60,0,0,0,999,999,11534,8996,0,0,0,0
20,1600,900,30,0,0,0,999,999,7816,6096,0,0,0,0
21,1600,900,60,0,0,0,999,999,12505,9753,0,0,0,0
22,1600,1200,30,0,0,0,999,999,10292,8027,0,0,0,0
23,1600,1200,60,0,0,0,999,999,16467,12844,0,0,0,0
24,1680,1024,30,0,0,0,999,999,9164,7147,0,0,0,0
25,1680,1024,60,0,0,0,999,999,14662,11436,0,0,0,0
26,1680,1050,30,0,0,0,999,999,9342,7286,0,0,0,0
27,1680,1050,60,0,0,0,999,999,14947,11658,0,0,0,0
28,1920,1200,30,0,0,0,999,999,11838,9233,0,0,0,0
29,1920,1200,60,0,0,0,999,999,18940,14773,0,0,0,0
30,2560,1440,30,0,0,0,999,999,16981,13075,0,0,0,0
31,2560,1440,60,0,0,0,999,999,27169,20920,0,0,0,0
32,2560,1600,30,0,0,0,999,999,18412,14177,0,0,0,0
33,2560,1600,60,0,0,0,999,999,29459,22683,0,0,0,0
,,,,,,,,,,,,,,
## HH  Resolution,,,,,,,,,,,,,,
index,width,height,framesPerSecond,interlaced,codec support,racing support,H264 maximum level,H265 maximum level,H264 bitrate (kbps),H265 bitrate (kbps),H264 min-slice-size,H264 slice count,H265 min-slice-size,H265 slice count
0,800,480,30,0,0,0,999,999,2524,1968,0,0,0,0
1,800,480,60,0,0,0,999,999,4038,3149,0,0,0,0
2,854,480,30,0,0,0,999,999,2678,2088,0,0,0,0
3,854,480,60,0,0,0,999,999,4284,3341,0,0,0,0
4,864,480,30,0,0,0,999,999,2678,2088,0,0,0,0
5,864,480,60,0,0,0,999,999,4284,3341,0,0,0,0
6,640,360,30,0,0,0,999,999,1734,1352,0,0,0,0
7,640,360,60,0,0,0,999,999,2774,2163,0,0,0,0
8,960,540,30,0,0,0,999,999,3196,2492,0,0,0,0
9,960,540,60,0,0,0,999,999,5113,3988,0,0,0,0
10,848,480,30,0,0,0,999,999,2640,2059,0,0,0,0
11,848,480,60,0,0,0,999,999,4224,3294,0,0,0,0
,,,,,,,,,,,,,,
### transcoding mode codec profile capability config,,,,,,,,,,,,,,
# column <H264 profile> = enum ProfileH264Type or enum Profile10BitType + 8 (number of ProfileH264Type),,,,,,,,,,,,,,
# column <H265 profile> = enum ProfileH265Type or enum Profile10BitType + 6 (number of ProfileH265Type),,,,,,,,,,,,,,
# column <priority 999 means Not Support>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
## transcoding mode H264 profile,,,,,,,,,,,,,,
H264 profile,support (common),priority (common),support (slice encode on),priority (slice encode on),,,,,,,,,,
0,1,4,0,999,,,,,,,,,,
1,1,3,0,999,,,,,,,,,,
2,1,2,1,2,,,,,,,,,,
6,0,999,0,999,,,,,,,,,,
8,1,1,1,1,,,,,,,,,,
,,,,,,,,,,,,,,
## transcoding mode H265 profile,,,,,,,,,,,,,,
H265 profile,support (common),priority (common),support (slice encode on),priority (slice encode on),,,,,,,,,,
0,1,2,1,2,,,,,,,,,,
2,0,999,0,999,,,,,,,,,,
4,0,999,0,999,,,,,,,,,,
5,0,999,0,999,,,,,,,,,,
7,1,1,1,1,,,,,,,,,,
